global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
1015.5701369493336	n/a	n/a	1031382.703063288	1171.7154642922535	n/a	1372917.1292616113	n/a	944.8069015365464	n/a	892660.0811910894	n/a	964.0324415045776	886.9066979189483	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-1.0583851377532485e-06	n/a	n/a	1.120179099816963e-12	0.0032603487753704	n/a	n/a	1.0629874137059269e-05	4.06585895333933e-05	n/a	1.653120902844959e-09	n/a	0.0003409998123136	n/a	n/a	1.1628087199791043e-07	-1.955570572143017e-08	n/a	3.8242562626317677e-16	n/a	-0.0001149998714764	n/a	1.3224970439588518e-08	n/a
1016.5165935650168	0.946456615683246	0.8957801253705838	1033305.9849930255	1158.313183920724	-13.402280371529514	1341689.432044565	179.62111915708527	947.5739077456362	2.7670062090898	897896.3106403355	7.656323361141506	964.57126567968	885.7221523255041	1.373831	23.71957	0.1788127919054668	0.085225759149097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.1879281544224796e-05	1.2937666681978044e-05	1.6738321917396474e-10	1.4111733000695984e-10	-0.0500850480605237	-0.0533453968358941	0.002845731363579	0.0025085120392249	-0.0482162637263385	-0.0482569223158718	0.0023248080877278	0.0023287305514	-0.0002689285587557	-0.0006099283710693	3.720126178352497e-07	7.232256971441799e-08	-0.000251076169436	-0.0002510566137302	6.303924285865497e-08	6.30294232977143e-08	0.0005679658454644	0.0006829657169408	3.225852016140907e-07	4.66442170516461e-07
1013.2040414501952	-3.312552114821642	10.973001513409336	1026582.4296110088	1153.627410888672	-4.685773032051884	1330856.203153701	21.956468907904707	946.4514965160472	-1.1224112295890336	895770.4352574653	1.2598069683075663	963.9410608038062	896.1983343116646	1.481053	25.570784	0.1441698758404829	0.0797243357952214	0.1791037898	-0.1565592172	0.194095851	-0.1461786798	0.2426105873	-0.2307821809	0.0860315442	-0.2019596046	0.1356538758	-0.2406035229	-0.0645988972	0.0284924476	-0.1898194135	-0.1804621751	0.1473483738	0.1312963789	-0.1023038833	0.0535183773	-0.0077960835	0.0918183924	-0.0584416496	0.0132930565	-0.0052655142	0.1472593944	-0.1973649551	0.0192754512	-0.0661260931	0.1231634372	-0.119623801	0.0663881867	-0.0367402627	0.0895189183	-0.0115128485	0.0775901321	0.0309049824	-0.0545695701	-0.1210599065	0.0252686743	0.2215937214	-0.147645428	0.0018855024	0.0182370816	-0.0698225595	-0.0431299696	0.03265266	0.0263876512	0.1554892933	-0.0050884138	-0.1098822669	0.063394051	-0.1747874821	0.0191844121	-0.2970288824	-0.0255523818	0.1143518812	-0.0380681614	0.0210483339	-0.1528870835	0.0212996203	-0.1286941241	-0.0587311238	0.004468461	-0.0835397711	0.0595561007	-0.1354846604	0.1109573108	-0.0272665324	0.1415750624	-0.1492991971	0.0408066194	-0.0691006979	0.0299871102	-0.0340143529	0.0777072593	0.0620165819	-0.1033370938	-0.099222316	0.0717299863	0.067121827	-0.2674335437	-0.0153704421	0.0490737759	-0.008511937	0.1683271208	-0.0734606235	0.1923811783	0.048397402	-0.0005303255	0.0377352627	-0.1446447269	0.0209377005	-0.0102250221	0.1902952032	-0.0967204097	0.0438693756	-0.1749542274	0.1029455108	-0.0692139659	0.1022466688	-0.1664018011	-0.0158380848	0.2792923024	-0.1207603257	0.1987701192	-0.0924212196	0.0246327071	0.1301773761	0.1301427735	0.1300851093	0.1300043937	0.0	0.0	0.0063704927426613	0.006358613461117	4.043196514789927e-05	4.058317778430029e-05	0.0057983285631024	0.055883376623626	0.003122951782858	3.3620614125689145e-05	-0.0117027404891487	0.0365135232371898	0.0001369541349563	0.0013332373791927	0.0005080507358716	0.0007769792946273	6.036968242795367e-07	2.581155502196743e-07	-0.0001648442866382	8.623188279779998e-05	2.7173638837257045e-08	7.435937610853513e-09	0.0006130419184103	4.507607294589999e-05	3.758203937281809e-07	2.031852352224096e-09
1009.838321270127	-3.365720180068138	11.328072330517898	1019773.4351056684	1153.4147696903774	-0.2126411982947047	1330365.6309399062	0.0452162792122079	944.9117672482053	-1.539729267841949	892858.2478841264	2.3707662182491043	963.1815139980354	888.5803297025145	1.455913	25.136734	0.0644671316291081	0.034242060039224	0.0758143845	0.0311214243	-0.0460643374	-0.0638864095	0.1392771889	-0.0416496187	-0.0215117068	-0.119941372	-0.1044963265	-0.076936699	-0.1607549701	0.140058876	-0.0352297471	-0.0312083699	0.1487739671	-0.0178058301	-0.0859830088	-0.0270100976	0.0764735616	0.0916208149	0.1790943823	-0.0464158038	0.1273626699	0.0018839309	0.0770300791	0.0985074433	-0.0902390423	0.0645781389	0.060418553	-0.2356991565	-0.0352948945	0.0737185615	0.1154823251	0.1240175981	-0.0566478226	0.169096631	-0.1562452701	0.0193787877	-0.0479117147	-0.0229493385	-0.0900917212	-0.063292711	-0.0916671078	0.1610735809	0.0276550106	0.0731033811	0.1275394763	-0.057404632	-0.0141984837	-0.0042922851	-0.098589728	-0.1377220584	-0.022729233	-0.0649922487	0.0776130814	0.1502780048	-0.0275623818	0.0422620644	-0.0693591987	-0.0018069612	0.1640679209	-0.0171042487	-0.1842720369	0.1460554487	-0.0434663216	-0.073099235	-0.1766139119	0.098761739	0.0978977821	0.0046083117	0.0674984862	0.1016730105	0.0939721093	-0.0218157379	0.0840834035	-0.1601026204	-0.0661945224	-0.0692909231	0.0044885971	-0.0432605853	0.0457353798	-0.0646330259	0.0150099972	0.1638479231	-0.0221415652	0.0011978385	0.0161056944	0.0975590196	-0.0674788431	-5.72155e-05	-0.0060335579	0.0292485421	0.2648186396	-0.0174352884	0.0436071799	-0.1055291122	0.006901079	0.0392655361	0.0008507737	-0.0378379587	0.1411043933	0.1099533425	-0.0379673282	-0.0181834075	-0.187744011	0.0895014461	0.1300851093	0.1297738696	0.1292556884	0.1285313919	0.0	0.0	0.0001084107064031	-0.0062620820362582	3.921367142882764e-05	1.1752881262819146e-08	0.0303722880545223	0.0245739594914199	0.0006038794850859	0.0009224758816668	-0.0040928120222787	0.00760992846687	1.6751110249709064e-05	5.791101127087839e-05	0.0004972047895462	-1.0845946325399982e-05	1.1763455169345736e-10	2.472126027476811e-07	-0.000570821941116	-0.0004059776544778	3.258376884594382e-07	1.64817855935296e-07	0.0007166415502983	0.000103599631888	5.135751116139509e-07	1.0732883727329116e-08
1009.013530761746	-0.8247905083810565	0.6802793827154816	1018108.3052602848	1150.371916253226	-3.042853437151507	1323355.545704119	9.25895703998474	943.672567171664	-1.2392000765412376	890517.9140323587	1.5356168296998092	961.1753094966068	865.702146995925	1.181906	20.405926	0.0405904959177656	0.0206463073383862	0.0280923959	0.0062793515	-0.0750009063	0.0478142992	0.0033513638	-0.0491880565	-0.0335293963	0.0951904796	-0.0808709582	-0.0400495315	-0.037935444	0.1295223108	0.1322073274	0.0618172007	0.0620623862	-0.1342714073	0.1671518938	0.0374933974	0.1591598134	0.1207121111	-0.0277882679	-0.122158657	0.0068613343	0.0987878472	0.0156787269	-0.0640565102	-0.004041381	-0.0998191959	-0.010411426	-0.2359799714	0.0566124375	0.0662780109	0.0132819219	-0.1522957041	0.1134426326	-0.0519688874	-0.1450907739	0.1309802118	0.0332691695	0.1026594891	0.1085715865	-0.0524324096	-0.0865567173	-0.1061569447	0.0017612063	-0.0525115588	0.0002113961	0.0267983491	-0.0376076647	-0.0878301109	-0.0333413732	0.0856876025	0.1303585286	-0.2050631111	0.1045452285	0.0563560456	0.0027301774	-0.0562433054	-0.0359095384	-0.0444876237	-0.0579199955	-0.1041731017	-0.1224702651	0.2258553266	0.1182527388	0.1251794321	-0.0925662823	0.0156708639	0.0886715538	-0.0062018356	-0.0307913999	0.1161267899	-0.1824014006	-0.0103935632	-0.0448041961	0.0628321346	-0.0732184058	0.111706057	-0.0197004713	0.1018965713	0.0241254957	0.0712880379	-0.0709060819	0.030853911	-0.0703173874	-0.0530602878	-0.0294675491	0.1343468911	0.0217179096	-0.1544423182	0.0428795613	0.1082010358	-0.0104249655	0.1411895601	0.0920918746	-0.0302160115	0.1192819833	0.0634149339	0.0108202327	-0.0566063522	0.1384798141	0.0248363498	0.0327559787	-0.1989329681	-0.1735977037	0.0722131286	0.129900641	0.1290371077	0.1276021352	0.1256020782	0.0	0.0	-7.120166242202686e-05	-0.0001796123688251	3.22606030349734e-08	5.069676731660271e-09	0.0189225274183542	-0.0114497606361681	0.0001310970186255	0.0003580620438983	-0.0100535018227461	-0.0059606898004674	0.0001010728988999	3.552982289739609e-05	0.0007166201021874	0.0002194153126411	4.8143079421435524e-08	5.135443708590796e-07	-0.0003407475028791	0.0002300744382369	1.1610886071834227e-07	5.2934247130025135e-08	0.0007061226389303	-1.0518911367999998e-05	4.986091812098909e-07	1.106474963678396e-10
1010.7076144887524	1.6940837270063869	2.869919674107849	1021529.8819855443	1155.618980026245	5.247063773019136	1335455.226996899	27.531678238129807	943.1908542942356	-0.4817128774284356	889608.9876242899	0.232047296280383	961.2772277552236	879.86515132789	1.116391	19.274788	0.0971469576689201	0.0499006987526195	0.1059946813	0.0131910233	-0.117889572	-0.1259628674	0.0434212945	-0.0861269679	-0.0088204746	0.0233431296	-0.0838239661	-0.0926479535	-0.0415765668	0.0077304869	0.0488978034	0.0830154113	0.1190938541	-0.082700966	0.0243198248	0.1383654994	0.0881619921	0.1039094252	-0.1808549004	0.0611475692	-0.0477001243	-0.050891238	-0.1647401147	-0.0678547745	-0.0712791249	-0.1425204931	-0.1363851866	0.243212499	-0.1595782857	-0.0205790798	-0.0502822059	-0.0170138588	0.0826046956	0.1212172999	-0.0497722377	-0.1703283188	0.0696352159	0.0325075137	0.0579951685	-0.0453153812	0.1896288678	-0.1088291302	0.123200819	0.0642038295	0.0914521788	-0.0382953621	0.0126659946	-0.0975103745	-0.0756903471	0.0765748785	-0.0460287391	-0.1833042302	-0.0109848442	-0.059048233	0.2174507327	-0.0471130583	-0.0790322653	-0.0351369955	-0.2175241229	0.005514288	0.0973522115	0.0105577243	-0.1054384986	-0.0596965293	0.026606403	0.0126115914	-0.1030076579	0.1188183949	-0.0376841631	-0.0651980418	0.0681299245	-0.0439120229	0.0040837403	0.093652091	0.2181142347	-0.0933437809	0.0348538334	-0.0745904222	0.1198002181	0.0883876585	-0.1090505162	0.0527290601	-0.0305439353	0.1098328931	0.0442994976	0.0969514704	-0.059096016	-0.1620935776	0.0681725057	0.0245803392	0.0227388169	-0.0796695063	0.0990078442	-0.0187301125	-0.0035812846	-0.2409536735	0.0515038828	0.0348900793	-0.0723652972	0.1059047435	-0.012285879	0.0326244987	-0.0469030732	-0.011992914	0.1296241021	0.127934576	0.1251349925	0.1212496427	0.0	0.0	0.0164415264507482	0.0165127281131702	0.0002726701897394	0.0002703237920306	-0.0205748696876781	-0.0394973971060323	0.0015600443781516	0.0004233252626649	-0.0083064822128235	0.0017470196099225	6.89976467519532e-05	3.052077517454111e-06	0.0005277885962505	-0.0001888315059369	3.56573376343975e-08	2.785608023320733e-07	-0.0005066996597093	-0.0001659521568302	2.567445451495204e-07	2.7540118356595297e-08	0.0011391352329591	0.0004330125940288	1.297629078968783e-06	1.8749990658755037e-07
1010.1129442321422	-0.5946702566101294	0.3536327140967572	1020328.1601053268	1158.2779314313616	2.658951405116568	1341607.766440914	7.070022574771371	943.7158076105892	0.5249533163536171	890599.5255341067	0.2755759843506608	962.1682494437688	878.3903709818758	1.000521	17.274271	0.1706537835029736	0.0841592530717302	0.0791381786	0.0034031379	-0.1010261833	-0.0048333033	0.100815718	-0.0565621104	0.002145245	-0.1134502212	-0.0697393878	-0.0092070603	-0.0514900331	-0.0227413249	0.0530852864	0.0253382047	0.0623971621	-0.0260415038	-0.1363600237	0.0541881286	0.0607919252	0.0710060365	0.0249923704	-0.0276157313	0.0970341032	-0.0685472025	0.1312277577	-0.066111079	0.0611342726	-0.1042427216	-0.0012074815	-0.0824197085	-0.0239867435	-0.1255011796	-0.0355956911	-0.014780814	0.0827519387	-0.1118164112	0.06801092	0.0270506906	0.1191649342	-0.0798042068	0.1040736898	-0.1264012339	0.0965867601	0.100852141	-0.1551872222	0.0454529436	-0.0224106533	0.0812473102	0.0339178411	-0.0382493016	-0.0451386277	-0.0814097857	-0.0808173026	-0.1020712731	-0.0177236728	0.0098760473	0.07921547	0.0173524249	-0.1434256395	0.0010324569	0.0290998966	-0.0169031086	0.0461597682	0.066733851	0.0106424046	-0.0410387455	-0.0966387665	-0.0310971341	0.0837867565	0.0178832439	-0.0136488928	-0.0469137224	0.0620685773	-0.043742846	-0.1337724562	0.0728373255	-0.2251036182	-0.0114015527	-0.011910583	0.0002701864	-0.2142590995	0.0044285767	0.0148678427	0.1296987661	0.0020757457	0.0723816768	0.0053994945	0.0814660136	-0.0897170329	0.0579605933	-0.0401252596	0.0205248898	0.1570048555	-0.0286178603	0.0333819294	-0.003593414	-0.034656465	-0.0376995992	-0.0115054312	0.157013444	-0.1060387192	-0.1028268118	0.0293418994	0.0351271249	0.1150745849	0.071786934	0.1292556884	0.1264693999	0.1218699908	0.1155234003	0.0	0.0	0.0297811956772164	0.0133396692264682	0.0001779467750715	0.0008869196159646	0.0395793261391901	0.0601541958268682	0.0036185272755772	0.0015665230576323	0.0347763585215687	0.0430828407343922	0.0012093951120206	0.001856131165745	0.0012091542115016	0.000681365615251	4.6425910164650994e-07	1.4620539071920558e-06	-0.0003399528889367	0.0001667467707726	1.1556796669640828e-07	2.7804485563090008e-08	0.0009057060646779	-0.0002334291682812	8.203034755943284e-07	5.448917660445279e-08
1008.3463737586436	-1.766570473498632	3.120771237837181	1016762.409472206	1153.514963749477	-4.762967681884675	1330596.771593957	22.685861138677872	942.8735749665682	-0.84223264402101	889010.5783702367	0.7093558266546213	961.550293668236	868.1693620969414	0.940809	16.243317	0.0687679008119316	0.0382750727594207	0.0478480322	0.0157930296	-0.1055606658	0.0181070601	0.0138877955	0.0092393958	-0.0045302294	-0.0299184262	-0.1131393452	0.0128767499	-0.055957589	0.1536331815	0.1069076227	0.1101233839	0.0884845849	-0.1104248532	-0.0523260233	-0.0566481117	0.1774973189	0.0332846392	-0.0917670794	0.016947063	0.0519285506	0.0241452699	0.2432529374	0.1182206716	-0.1079160649	-0.0798212741	0.1440579827	0.1505226982	0.0931470534	-0.004951662	-0.0707640867	0.13450145	-0.0707873793	-0.0057685137	-0.0352778986	0.0356368216	-0.1691748597	0.1168341663	-0.0988308102	0.007812514	0.015825695	-0.0944826925	-0.0694028241	-0.0523739904	0.0154956559	-0.1112542724	-0.0484876518	-0.0704932985	-0.0233303162	-0.1089973543	0.0948149081	-0.1148341192	0.0789166567	0.0934029907	0.1533143792	0.0708966946	-0.0272131903	0.0186799565	0.0879651843	-0.0469884896	-0.0733060436	-0.0171441731	0.1416621643	-0.1883429777	-0.0115478176	-0.0054598491	-0.0963292267	-0.1644771564	0.1426658879	-0.1101140903	0.053885192	0.0958660342	0.0336971966	0.0712645477	0.0565902331	-0.0352909202	-0.0426735664	0.180965225	0.1374719997	0.1033685972	-0.0108613728	0.0912070613	-0.0533259943	-0.0603525566	-0.0529561611	0.1598179574	-0.1004262011	0.0154118893	-0.0988045082	0.0335697312	0.1022867936	0.0554623193	0.0285636892	0.132664583	0.0069680497	0.0731918868	0.0358282736	0.0351756853	-0.0312985701	-0.1808427538	0.0617895974	-0.057603538	-0.0264612179	0.046253559	0.1287956613	0.1246457325	0.1178279478	0.1084882316	0.0	0.0	0.0314335941352936	0.0016523984580771	2.7304206642558985e-06	0.0009880708402623	0.0334458247490516	-0.0061335013901385	3.761983930283096e-05	0.0011186231931442	0.0629866970306096	0.0282103385090409	0.0039673240028258	0.0007958231987946	0.0008432036775297	-0.0003659505339718	1.3391979331431864e-07	7.109924417996104e-07	-0.000339995715858	-4.282692129999999e-08	1.1559708680179386e-07	1.834145188036392e-15	0.0011951459528782	0.0002894398882003	1.4283738486811409e-06	8.37754488814022e-08
1009.2708087002134	0.924434941569757	0.8545799611950801	1018627.5652943826	1153.5646019526891	0.0496382032122255	1330711.290878266	0.0024639512181382	944.4995073748064	1.6259324082382136	892079.319431252	2.643656196159317	962.4499709773236	874.6617660561183	0.968344	16.718729	0.0539562523248616	0.0331366900743335	0.0947952912	0.0042023851	-0.1460580133	-0.0708996701	-0.0379240885	-0.0783508166	-0.0095007266	0.1171790978	-0.0424725964	-0.0379635014	0.0483774562	0.0769241434	0.1054869189	-0.0154568567	0.1334407619	-0.0428099948	0.1180551415	0.0630756587	0.1387903565	0.1125777637	-0.1139989797	0.0573266321	-0.0073204484	-0.1303137139	0.1094470477	0.1243746258	0.1850125652	0.0384212097	-0.1020862844	0.0174897753	-0.0211402431	-0.0638080068	-0.1181313902	0.0411497851	-0.0055430131	0.0244066995	0.0295353853	0.0004665618	0.0180845397	-0.0347508768	0.0062161304	0.0488801565	-0.0576610994	-0.0097396046	-0.175141289	-0.1667185858	-0.1295538964	0.0643584039	-0.0094060608	-0.0205675199	-0.0982486539	0.1011020321	0.0348882563	-0.1318589068	0.0856062868	0.0854148382	0.1380108579	0.0896312151	-0.0824581515	0.0175997044	-0.0257868388	-0.0767762213	0.00670504	-0.2168180391	-0.0213790568	0.0654237913	-0.0819281436	-0.1517087238	-0.0512077215	0.0203138469	0.0959082558	-0.0911336811	0.0161806839	-0.0973590091	0.0248241219	-0.0686146244	0.0293191291	-0.0095529332	-0.0657223536	0.0705365746	-0.1031422011	-0.0442660118	-0.0958330786	0.0264907666	-0.0660283503	-0.0357781067	-0.0357997851	0.1481790754	-0.0335355233	-0.1173034882	-0.0352581093	0.0089839403	-0.0511887325	0.0357112709	0.0041273255	0.1612184143	0.0164000058	-0.1306508408	0.0192031835	-0.0184532178	-0.0733636272	-0.1646137327	0.0126259015	-0.0345276324	0.078653004	-0.0355215504	0.1282443466	0.1224687433	0.1130346355	0.1002238479	0.0	0.0	0.0383531157526277	0.0069195216173341	4.7879779412754e-05	0.0014709614879344	0.0315804677311319	-0.0018653570179196	3.47955680430227e-06	0.000997325942117	0.0348694708338968	-0.0281172261967128	0.0012158799962359	0.0007905784089971	0.001128194015017	0.0002849903374872	8.121949246112507e-08	1.272821735520179e-06	-0.0003398571801076	1.385357503999943e-07	1.1550290287068966e-07	1.9192154138889516e-14	0.001139191876258	-5.595407662019997e-05	1.297758130932223e-06	3.130858690419209e-09
1008.7419172631784	-0.5288914370349858	0.2797261521689323	1017560.255643793	1158.2050229753768	4.640421022687633	1341438.875245393	21.533507267801337	944.6763936910544	0.1768863162479874	892413.488797136	0.031288768875783	963.4276679138304	874.4550471206276	1.007239	17.390265	0.0946707542517644	0.0495701368645094	0.0475774568	0.0177700869	-0.1398749643	-0.0192852028	-0.0612599788	-0.0466040233	-0.0263187091	0.0757045691	-0.1057292473	-0.0494977731	-0.1599053185	-0.0459253262	-0.02302167	-0.0207548053	0.120520092	0.066368512	0.0427283401	0.099492501	0.0918239485	-0.0045484355	-0.1856446069	-0.0545717691	-0.0408380307	-0.0188494515	0.0343210832	-0.1164134918	-0.0196080706	0.0703009031	0.0825167526	0.0521856487	0.0950530345	-0.0370693063	0.1776799175	0.0263285049	0.0388148774	-0.1661969336	0.0879998443	-0.0489730204	-0.0618041048	-0.0292244241	-0.1488207957	-0.0669919276	-0.0681929337	0.0094765565	-0.0779642004	0.0856369473	-0.060941444	-0.0037964574	0.1831742098	-0.0100893244	-0.1076179243	0.1140759556	-0.0768375325	-0.056643219	-0.0664398865	0.0828245768	0.1488612174	0.025108002	0.0472069515	0.1341686425	-0.0372680504	-0.0052784594	0.0089101417	-0.1079580191	0.1046747272	0.0153841485	0.0651332626	0.012421982	0.0277827921	-0.0200580207	-0.0556082626	0.0606609576	0.1296280713	0.1057818617	-0.008742471	0.0597178328	0.0114315914	0.1815389819	0.1310222863	0.0518390755	-0.0126490116	-0.1241290227	-0.1159538044	-0.0340317031	-0.0002430952	0.08351288	0.001465658	0.0569869723	-0.0598486497	-0.0778517515	0.0553341671	0.0693030717	-0.1141295896	-0.0207105248	0.1066077576	0.030002176	0.0479512048	-0.0126940167	0.0868588436	0.174587068	-0.0772800375	0.0534517486	0.0284054239	0.0056989182	0.1340208891	-0.0410476995	0.1276021352	0.1199446031	0.1075206159	0.090823888	0.0	0.0	0.0306131417107593	-0.0077399740418684	5.990719816879673e-05	0.000937164445403	-0.0110229626429685	-0.0426034303741004	0.0018150522796408	0.0001215057054282	0.0119173356265562	-0.0229521352073405	0.0001420228884359	0.000526800510576	0.0013002901015254	0.0001720960865084	2.961706299150673e-08	1.690754348124935e-06	-0.0004476632949603	-0.0001078061148527	2.0040242565471258e-07	1.1622158399633545e-08	0.001286793967466	0.0001476020912079	1.655838714706889e-06	2.1786377328974708e-08
